Best for data1.txt H=4: error=9, iterations=17192
Iteration 10000: loss 0.19187 errors 9
Iteration 11000: loss 0.19151 errors 9
Iteration 12000: loss 0.19119 errors 9
Iteration 13000: loss 0.19088 errors 9
Iteration 14000: loss 0.19059 errors 9
Iteration 15000: loss 0.19032 errors 9
Iteration 16000: loss 0.19006 errors 9
Iteration 17000: loss 0.18980 errors 9
Iteration 18000: loss 0.18955 errors 9
Iteration 19000: loss 0.18931 errors 8
Iteration 20000: loss 0.18907 errors 8
Iteration 1000: loss 0.21931 errors 10
Iteration 2000: loss 0.21137 errors 10
Iteration 3000: loss 0.20714 errors 9
Iteration 4000: loss 0.20445 errors 9
Iteration 5000: loss 0.20261 errors 9
Iteration 6000: loss 0.20127 errors 10
Iteration 7000: loss 0.20028 errors 10
Iteration 8000: loss 0.19951 errors 10
Iteration 9000: loss 0.19891 errors 10
Iteration 10000: loss 0.19842 errors 10
Iteration 11000: loss 0.19804 errors 10
Iteration 12000: loss 0.19772 errors 10
Iteration 13000: loss 0.19746 errors 10
Iteration 14000: loss 0.19724 errors 10
Iteration 15000: loss 0.19706 errors 10
Iteration 16000: loss 0.19690 errors 10
Iteration 17000: loss 0.19677 errors 10
Iteration 18000: loss 0.19666 errors 10
Iteration 19000: loss 0.19655 errors 9
Iteration 20000: loss 0.19646 errors 9
Iteration 1000: loss 0.21642 errors 10
Iteration 2000: loss 0.20884 errors 10
Iteration 3000: loss 0.20490 errors 9
Iteration 4000: loss 0.20251 errors 9
Iteration 5000: loss 0.20092 errors 10
Iteration 6000: loss 0.19981 errors 10
Iteration 7000: loss 0.19901 errors 10
Iteration 8000: loss 0.19843 errors 10
Iteration 9000: loss 0.19798 errors 10
Iteration 10000: loss 0.19764 errors 10
Iteration 11000: loss 0.19736 errors 10
Iteration 12000: loss 0.19715 errors 10
Iteration 13000: loss 0.19697 errors 10
Iteration 14000: loss 0.19683 errors 10
Iteration 15000: loss 0.19671 errors 10
Iteration 16000: loss 0.19662 errors 9
Iteration 1000: loss 0.20824 errors 10
Iteration 2000: loss 0.20303 errors 9
Iteration 3000: loss 0.20053 errors 10
Iteration 4000: loss 0.19911 errors 10
Iteration 5000: loss 0.19823 errors 10
Iteration 6000: loss 0.19764 errors 10
Iteration 7000: loss 0.19723 errors 10
Iteration 8000: loss 0.19694 errors 10
Iteration 9000: loss 0.19673 errors 10
Iteration 10000: loss 0.19657 errors 10
Iteration 11000: loss 0.19646 errors 9
Iteration 12000: loss 0.19636 errors 9
Iteration 1000: loss 0.20830 errors 10
Iteration 2000: loss 0.20280 errors 9
Iteration 3000: loss 0.20025 errors 10
Iteration 4000: loss 0.19887 errors 10
Iteration 5000: loss 0.19802 errors 10
Iteration 6000: loss 0.19746 errors 10
Iteration 7000: loss 0.19708 errors 10
Iteration 8000: loss 0.19682 errors 10
Iteration 9000: loss 0.19663 errors 10
Iteration 10000: loss 0.19650 errors 9
Iteration 11000: loss 0.19639 errors 9
Iteration 12000: loss 0.19632 errors 9
Best for data3.txt H=8: error=8, iterations=1905
Iteration 1000: loss 0.21836 errors 0
Iteration 2000: loss 0.11114 errors 0
Iteration 3000: loss 0.08242 errors 0
Iteration 4000: loss 0.06719 errors 0
Iteration 5000: loss 0.05759 errors 0
Iteration 6000: loss 0.05106 errors 0
Iteration 7000: loss 0.04625 errors 0
Iteration 8000: loss 0.04248 errors 0
Iteration 9000: loss 0.03945 errors 0
Iteration 10000: loss 0.03696 errors 0
Iteration 11000: loss 0.03486 errors 0
Iteration 12000: loss 0.03305 errors 0
Iteration 13000: loss 0.03147 errors 0
Iteration 14000: loss 0.03007 errors 0
Iteration 15000: loss 0.02883 errors 0
Iteration 16000: loss 0.02771 errors 0
Iteration 17000: loss 0.02670 errors 0
Iteration 18000: loss 0.02579 errors 0
Iteration 19000: loss 0.02495 errors 0
Iteration 20000: loss 0.02419 errors 0
Iteration 1000: loss 0.10277 errors 0
Iteration 2000: loss 0.07259 errors 0
Iteration 3000: loss 0.05844 errors 0
Iteration 4000: loss 0.04775 errors 0
Iteration 5000: loss 0.04106 errors 0
Iteration 6000: loss 0.03651 errors 0
Iteration 7000: loss 0.03306 errors 0
Iteration 8000: loss 0.03032 errors 0
Iteration 9000: loss 0.02808 errors 0
Iteration 10000: loss 0.02621 errors 0
Iteration 11000: loss 0.02462 errors 0
Iteration 12000: loss 0.02324 errors 0
Iteration 13000: loss 0.02205 errors 0
Iteration 14000: loss 0.02099 errors 0
Iteration 15000: loss 0.02004 errors 0
Iteration 16000: loss 0.01920 errors 0
Iteration 17000: loss 0.01843 errors 0
Iteration 18000: loss 0.01774 errors 0
Iteration 19000: loss 0.01711 errors 0
Iteration 20000: loss 0.01652 errors 0
Iteration 1000: loss 0.17309 errors 0
Iteration 2000: loss 0.11932 errors 0
Iteration 3000: loss 0.09516 errors 0
Iteration 4000: loss 0.08070 errors 0
Iteration 5000: loss 0.07077 errors 0
Iteration 6000: loss 0.06339 errors 0
Iteration 7000: loss 0.05758 errors 0
